"aid","Latitude","Longitude","Habitat_WWF","sp","int_pres"
11,-0.07997,-51.26369,"Cerrado","sppG",2
11,-0.07997,-51.26369,"Cerrado","sppH",2
11,-0.07997,-51.26369,"Cerrado","sppI",1
11,-0.07997,-51.26369,"Cerrado","sppJ",0
11,-0.07997,-51.26369,"Cerrado","sppK",0
12,-0.13087,-51.29402,"Floresta","sppA",1
12,-0.13087,-51.29402,"Floresta","sppB",0
12,-0.13087,-51.29402,"Floresta","sppC",1
12,-0.13087,-51.29402,"Floresta","sppD",0
12,-0.13087,-51.29402,"Floresta","sppE",1
12,-0.13087,-51.29402,"Floresta","sppF",0
12,-0.13087,-51.29402,"Floresta","sppG",0
12,-0.13087,-51.29402,"Floresta","sppH",2
12,-0.13087,-51.29402,"Floresta","sppI",1
12,-0.13087,-51.29402,"Floresta","sppJ",2
12,-0.13087,-51.29402,"Floresta","sppK",0
13,-0.14333,-51.32741,"Floresta","sppA",1
13,-0.14333,-51.32741,"Floresta","sppB",0
13,-0.14333,-51.32741,"Floresta","sppC",2
13,-0.14333,-51.32741,"Floresta","sppD",0
13,-0.14333,-51.32741,"Floresta","sppE",0
13,-0.14333,-51.32741,"Floresta","sppF",0
13,-0.14333,-51.32741,"Floresta","sppG",1
13,-0.14333,-51.32741,"Floresta","sppH",4
13,-0.14333,-51.32741,"Floresta","sppI",1
13,-0.14333,-51.32741,"Floresta","sppJ",2
13,-0.14333,-51.32741,"Floresta","sppK",1
14,-0.16704,-51.35631,"Floresta","sppA",0
14,-0.16704,-51.35631,"Floresta","sppB",0
14,-0.16704,-51.35631,"Floresta","sppC",2
14,-0.16704,-51.35631,"Floresta","sppD",0
14,-0.16704,-51.35631,"Floresta","sppE",1
14,-0.16704,-51.35631,"Floresta","sppF",0
14,-0.16704,-51.35631,"Floresta","sppG",0
14,-0.16704,-51.35631,"Floresta","sppH",3
14,-0.16704,-51.35631,"Floresta","sppI",2
14,-0.16704,-51.35631,"Floresta","sppJ",0
14,-0.16704,-51.35631,"Floresta","sppK",3
15,0.67809,-51.49006,"Floresta","sppA",0
15,0.67809,-51.49006,"Floresta","sppB",0
15,0.67809,-51.49006,"Floresta","sppC",0
15,0.67809,-51.49006,"Floresta","sppD",1
15,0.67809,-51.49006,"Floresta","sppE",1
15,0.67809,-51.49006,"Floresta","sppF",0
15,0.67809,-51.49006,"Floresta","sppG",0
15,0.67809,-51.49006,"Floresta","sppH",4
15,0.67809,-51.49006,"Floresta","sppI",1
15,0.67809,-51.49006,"Floresta","sppJ",0
15,0.67809,-51.49006,"Floresta","sppK",2
16,0.67455,-51.52732,"Floresta","sppA",0
16,0.67455,-51.52732,"Floresta","sppB",0
16,0.67455,-51.52732,"Floresta","sppC",0
16,0.67455,-51.52732,"Floresta","sppD",1
16,0.67455,-51.52732,"Floresta","sppE",1
16,0.67455,-51.52732,"Floresta","sppF",0
16,0.67455,-51.52732,"Floresta","sppG",1
16,0.67455,-51.52732,"Floresta","sppH",4
16,0.67455,-51.52732,"Floresta","sppI",1
16,0.67455,-51.52732,"Floresta","sppJ",3
16,0.67455,-51.52732,"Floresta","sppK",3
17,0.6699,-51.57553,"Floresta","sppA",0
17,0.6699,-51.57553,"Floresta","sppB",0
17,0.6699,-51.57553,"Floresta","sppC",0
17,0.6699,-51.57553,"Floresta","sppD",4
17,0.6699,-51.57553,"Floresta","sppE",0
17,0.6699,-51.57553,"Floresta","sppF",1
17,0.6699,-51.57553,"Floresta","sppG",4
17,0.6699,-51.57553,"Floresta","sppH",2
17,0.6699,-51.57553,"Floresta","sppI",0
17,0.6699,-51.57553,"Floresta","sppJ",3
17,0.6699,-51.57553,"Floresta","sppK",2
18,0.64253,-51.6060321,"Floresta","sppA",0
18,0.64253,-51.6060321,"Floresta","sppB",1
18,0.64253,-51.6060321,"Floresta","sppC",0
18,0.64253,-51.6060321,"Floresta","sppD",3
18,0.64253,-51.6060321,"Floresta","sppE",0
18,0.64253,-51.6060321,"Floresta","sppF",1
18,0.64253,-51.6060321,"Floresta","sppG",2
18,0.64253,-51.6060321,"Floresta","sppH",1
18,0.64253,-51.6060321,"Floresta","sppI",0
18,0.64253,-51.6060321,"Floresta","sppJ",0
18,0.64253,-51.6060321,"Floresta","sppK",1
19,0.68948,-51.45626,"Floresta","sppA",0
19,0.68948,-51.45626,"Floresta","sppB",0
19,0.68948,-51.45626,"Floresta","sppC",0
19,0.68948,-51.45626,"Floresta","sppD",0
19,0.68948,-51.45626,"Floresta","sppE",0
19,0.68948,-51.45626,"Floresta","sppF",0
19,0.68948,-51.45626,"Floresta","sppG",1
19,0.68948,-51.45626,"Floresta","sppH",3
19,0.68948,-51.45626,"Floresta","sppI",1
19,0.68948,-51.45626,"Floresta","sppJ",1
19,0.68948,-51.45626,"Floresta","sppK",3
